time_index,hash,area,percent,area_type
2022-04-28 21:29:10 UTC,#a52714,78071.37507444905,12.932,occupied_after_24_02_2022
2022-04-29 10:36:42 UTC,#0f9d58,20200.15687953127,3.346,liberated
2022-04-29 10:36:42 UTC,#880e4f,46758.645979242574,7.745,occupied_to_24_02_2022
2022-04-29 10:36:42 UTC,#bcaaa4,229.40927083209377,0.038,unspecified
2022-04-29 10:36:42 UTC,#bdbdbd,596.6115103715783,0.099,other_territories
2022-04-29 10:36:42 UTC,#a52714,78050.69112193321,12.929,occupied_after_24_02_2022
2022-04-29 11:58:13 UTC,#0f9d58,20221.456016264165,3.35,liberated
2022-04-29 11:58:13 UTC,#880e4f,46758.645979242574,7.745,occupied_to_24_02_2022
2022-04-29 11:58:13 UTC,#bcaaa4,232.7822748397855,0.039,unspecified
2022-04-29 11:58:13 UTC,#bdbdbd,575.3123736386874,0.095,other_territories
2022-04-29 11:58:13 UTC,#a52714,78047.31717052382,12.928,occupied_after_24_02_2022
2022-04-30 15:52:52 UTC,#0f9d58,20227.43164742667,3.351,liberated
